Time,Output,Control
4.60,9.72128,5.83345
4.61,9.72130,5.83346
4.62,9.72131,5.83347
4.63,9.72133,5.83348
4.64,9.72134,5.83347
4.65,9.72135,5.83349
4.66,9.72137,5.83350
4.67,9.72138,5.83351
4.68,9.72139,5.83352
4.69,9.72141,5.83351
4.70,9.72142,5.83352
4.71,9.72143,5.83354
4.72,9.72145,5.83355
4.73,9.72146,5.83356
4.74,9.72147,5.83357
4.75,9.72149,5.83356
4.76,9.72150,5.83357
4.77,9.72151,5.83359
4.78,9.72153,5.83360
4.79,9.72154,5.83361
4.80,9.72156,5.83360
4.81,9.72157,5.83361
4.82,9.72158,5.83362
4.83,9.72160,5.83364
4.84,9.72161,5.83365
4.85,9.72162,5.83366
4.86,9.72164,5.83365
4.87,9.72165,5.83366
4.88,9.72166,5.83367
4.89,9.72168,5.83368
4.90,9.72169,5.83370
4.91,9.72170,5.83371
4.92,9.72172,5.83370
4.93,9.72173,5.83371
4.94,9.72174,5.83372
4.95,9.72176,5.83373
4.96,9.72177,5.83374
4.97,9.72179,5.83376
4.98,9.72180,5.83375
4.99,9.72181,5.83376
5.00,9.72183,5.83377
